key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,14.499195,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.1036650000023656,2.5957650000054855,3.5009049999935087,4.5243849999969825,5.471395000000484,6.316240000014659,7.2598200000065845,8.243285000004107,9.14127500000177,10.009229999996023,10.92464499999187,11.879175000009127,12.797214999998687]",space,1.408105,0.0,0.0,0.0,1.0,1.0,block_2/none_t_119_1.wav,timbre,t,none,119.0,1.172164666,14.53370662,,,,Yes,EPOS Sennheiser GSP 302,1,No,Male,21,Left,Yes,1,2020-10-05_10h32.11.341,kura-A1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9685150000150315,1.7693950000102632,2.6002000000153203,3.4482800000114366,4.537684999988414,4.946649999998044,5.704629999992903,6.495744999992894,7.231534999998985,7.983895000012126,8.779320000001462,9.507115000014892,10.28032499999972,11.035875000001397,12.081065000005765,12.517939999990631,13.367765000002692,14.25289000000339,14.842420000000857,15.574670000001788]",space,1.11755,0.0,1.0,1.0,0.0,1.0,block_1/strong_n_81_2.wav,no,n,strong,81.0,1.560205308,16.72288105,,,,Yes,EPOS Sennheiser GSP 302,1,No,Male,21,Left,Yes,1,2020-10-05_10h32.11.341,kura-A1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.5741899999848101,1.3166849999979604,2.0423850000079256,3.0161950000037905,3.8670899999851827,5.02085500000976,5.911410000000615,6.813850000005914,7.705004999996163,8.447905000008177,9.078485000005458]",space,0.631625,0.0,2.0,2.0,2.0,1.0,block_1/weak_n_119_1.wav,no,n,weak,119.0,1.75153664,11.06591306,,,,Yes,EPOS Sennheiser GSP 302,1,No,Male,21,Left,Yes,1,2020-10-05_10h32.11.341,kura-A1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.5029899999790359,2.1423499999800697,2.990754999977071,3.711639999994077,4.454700000002049,5.030444999982137,5.60232000000542,6.251575000002049,6.853244999976596,7.4064199999847915,7.9608749999897555,8.534199999994598,9.090324999997392,9.63756000000285,10.198109999997541]",space,0.541695,0.0,3.0,3.0,3.0,1.0,block_2/weak_t_119_2.wav,timbre,t,weak,119.0,2.180699762,12.4495433,,,,Yes,EPOS Sennheiser GSP 302,1,No,Male,21,Left,Yes,1,2020-10-05_10h32.11.341,kura-A1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_105_2.wav,no,n,weak,105.0,1.25756433,14.19910628,,,,Yes,EPOS Sennheiser GSP 302,1,No,Male,21,Left,Yes,1,2020-10-05_10h32.11.341,kura-A1,2020.1.2,Win32,60,space,5.00882,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.5209999999788124,1.1658149999857415,1.6719199999934062,2.2198849999986123,2.7917649999726564,3.4184799999929965,4.154819999996107,4.795924999983981,5.412509999994654,6.075624999997672,6.820654999988619,7.544384999986505,8.150154999981169,8.848589999979595,9.586699999985285,10.264224999991711,10.937504999979865,11.552714999997988,12.224254999979166,12.775474999973085]",space,0.47917,0.0,0.0,0.0,26.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_92_1.wav,no,n,none,92.0,1.720415177,18.30862379,,,,Yes,EPOS Sennheiser GSP 302,1,No,Male,21,Left,Yes,1,2020-10-05_10h32.11.341,kura-A1,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.284319999977015,2.196544999984326,3.030349999986356,4.151614999980666,5.170254999975441,6.122275000001537,7.161679999990156,7.895954999985406,8.630334999994375,9.501980000000913,10.578329999989364,11.255229999980656,11.99569499999052,12.821684999973513,13.533564999990631,14.357569999992847,15.186409999994794,16.00692999997409,16.717444999987492]",space,0.562445,0.0,1.0,1.0,20.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_72_1.wav,no,n,weak,72.0,1.347131367,16.2574715,,,,Yes,EPOS Sennheiser GSP 302,1,No,Male,21,Left,Yes,1,2020-10-05_10h32.11.341,kura-A1,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.036019999999553,1.849324999988312,2.63796499997261,3.3776549999893177,4.1459800000011455,4.94094000000041,5.651854999974603,6.450559999997495,7.178354999981821,7.912544999999227,8.725014999974519,9.554199999984121,10.32187499999418,11.26801999998861,12.134559999976773,13.01048999998602,13.816659999982221,14.561204999976326]",space,0.355855,0.0,2.0,2.0,15.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_105_2.wav,no,n,medium,105.0,2.100494097,12.22140113,,,,Yes,EPOS Sennheiser GSP 302,1,No,Male,21,Left,Yes,1,2020-10-05_10h32.11.341,kura-A1,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.0579750000033528,1.7704000000085216,2.60837500001071,3.099900000001071,3.611304999998538,4.120764999999665,4.62009000001126,5.1166550000198185,5.585330000001704,6.181500000006054,6.6923400000086986,7.178275000012945,7.6515350000117905,8.214905000000726,8.91435000000638,9.395060000009835,9.887849999999162,10.398125000006985]",space,0.301695,0.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_72_1.wav,no,n,medium,72.0,1.188923945,17.15940014,,,,Yes,EPOS Sennheiser GSP 302,1,No,Male,21,Left,Yes,1,2020-10-05_10h32.11.341,kura-A1,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.6216650000133086,1.280300000013085,1.9459250000072643,2.8343349999922793,3.635390000010375,4.485504999989644,5.29816999999457,6.273940000013681,7.197210000013001,8.116470000008121,9.03087499999674,9.869169999990845,10.904830000014044,11.668845000007423,12.501015000016196,13.282839999999851,14.21952000001329,15.242129999998724,15.817555000016]",space,0.44656,0.0,4.0,4.0,10.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_105_1.wav,no,n,medium,105.0,2.470231961,15.66819115,,,,Yes,EPOS Sennheiser GSP 302,1,No,Male,21,Left,Yes,1,2020-10-05_10h32.11.341,kura-A1,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.8440849999897182,1.8421500000113156,2.8268300000054296,3.626125000009779,4.338175000011688,5.084594999992987,5.859744999994291,6.586164999986067,7.269079999998212,7.911254999984521,8.5929049999977,9.274784999986878,9.935540000005858,10.753865000006044,11.451299999986077,12.159840000007534,12.872795000002952]",space,0.498565,0.0,5.0,5.0,7.0,1.0,,,,,,,,,,,,,
